concelho,taxa_2009,taxa_2025,variacao_pontos
Abrantes,20.8,8.2,12.6
Aguiar da Beira,7.7,9.2,-1.5
Alandroal,14.3,7.7,6.6
Albergaria-a-Velha,15.5,3.9,11.6
Albufeira,21.4,1.2,20.2
Alcanena,19.8,3.4,16.4
Alcobaça,16.5,3.7,12.8
Alcochete,25.6,10.7,14.9
Alcácer do Sal,19.4,8.0,11.4
Alenquer,17.6,6.7,10.9
Alfândega da Fé,30.3,5.6,24.7
Alijó,23.7,11.9,11.8
Aljustrel,19.7,11.8,7.9
Almada,24.6,8.8,15.8
Almeida,22.3,6.1,16.2
Almeirim,17.5,6.8,10.7
Almodôvar,19.4,15.2,4.2
Alpiarça,20.5,5.0,15.5
Alter do Chão,27.5,5.5,22.0
Alvaiázere,19.1,7.9,11.2
Alvito,5.0,8.5,-3.5
Amadora,26.9,6.1,20.8
Amarante,8.5,6.7,1.8
Amares,19.5,5.2,14.3
Anadia,15.0,4.0,11.0
Arcos de Valdevez,13.5,6.0,7.5
Arganil,18.6,9.1,9.5
Arouca,12.2,12.5,-0.3
Arraiolos,13.7,12.0,1.7
Arruda dos Vinhos,19.1,2.9,16.2
Aveiro,21.4,5.2,16.2
Avis,14.2,10.5,3.7
Azambuja,27.6,7.9,19.7
Baião,30.3,6.5,23.8
Barcelos,14.7,6.2,8.5
Barreiro,23.1,10.5,12.6
Batalha,22.7,10.1,12.6
Beja,24.3,13.4,10.9
Benavente,22.0,8.0,14.0
Bombarral,25.2,6.3,18.9
Boticas,15.0,3.3,11.7
Braga,16.3,6.6,9.7
Cabeceiras de Basto,18.1,6.3,11.8
Cadaval,24.5,2.9,21.6
Caldas da Rainha,22.4,10.1,12.3
Caminha,18.3,6.5,11.8
Campo Maior,15.1,12.3,2.8
Cantanhede,16.1,3.9,12.2
Carrazeda de Ansiães,12.1,5.0,7.1
Carregal do Sal,24.1,5.0,19.1
Cartaxo,14.6,9.5,5.1
Cascais,17.3,9.7,7.6
Castelo Branco,17.5,6.5,11.0
Castelo de Paiva,21.3,5.9,15.4
Castro Daire,23.1,7.5,15.6
Castro Verde,13.3,8.7,4.6
Celorico da Beira,28.7,9.0,19.7
Celorico de Basto,12.3,4.5,7.8
Chamusca,26.0,9.1,16.9
Chaves,14.1,4.5,9.6
Cinfães,9.7,7.7,2.0
Coimbra,20.4,4.9,15.5
Constância,11.4,10.3,1.1
Coruche,15.3,11.1,4.2
Covilhã,17.1,8.2,8.9
Crato,10.2,6.2,4.0
Cuba,31.9,13.7,18.2
Elvas,26.8,10.1,16.7
Entroncamento,19.9,6.8,13.1
